person,en,ja
"Albert Einstein","Do not worry about your difficulties in Mathematics. I can assure you that mine are still greater.","数学の難しさについて思い悩む必要はない. 私の方がよほど数学で困っている."
"Carl Friedrich Gauss","Mathematics is the queen of the sciences and number theory is the queen of mathematics.","数学は科学の女王であり, 数論は数学の女王である."
"Isaac Newton","If I have been able to see further, it was only because I stood on the shoulders of giants.","もし私がより遠くを見渡せていたとしたら, それは巨人の肩に乗っていたからだ."
"Mary Everest Boole","Only dead mathematics can be taught where the attitude of competition prevails; living mathematics must always be a communal possession.","競争原理が働くところでは死んだ数学しか教えられない. 生きた数学は常に共同体の所有物でなければならない."
"Sofia Kovalevskaya","It is impossible to be a mathematician without being a poet in soul.","詩人の魂を持たずに数学者にはなれない."
